phrase;line;line, lemmas;RuSentiLex;EmoLex;LinisCrowd;ChenSkiena;ProductSentiRus;SentiRusColl
;"Министр здравоохранения Нижегородской области заразился коронавирусом
";министр здравоохранение нижегородский область заражаться коронавирус;-1;0;0;0;0;0
;"На северо-востоке Москвы восстановили исторический фонтан
";на северо-восток москва восстанавливать исторический фонтан;0;1;1;1;-1;0
;"В Крыму план Киева вернуть полуостров к 2030 году назвали чушью
";в крым план киев вернуть полуостров к год называть чушь;-1;0;-1;0;-1;0
;"В Москве около 20 гостиниц находятся в стадии проектирования
";в москва около гостиница находиться в стадия проектирование;0;0;0;-1;0;0
;"Эксперт рассказал, как накопить финансовый резерв к пенсии""
";эксперт рассказывать как накапливать финансовый резерв к пенсия;0;1;0;1;-1;0
;"Ледниковый период"""": """"раздолбай"""" Милохин и фавориты Тарасовой""
";ледниковый период раздолбай милохин и фаворит тарасова;0;-1;1;1;0;0
;"Наполеоны против Гулливеров? Как внешний вид влияет на размер зарплаты
";наполеон против гулливер как внешний вид влиять на размер зарплата;-1;0;0;1;-1;0
;"Эксперт рассказала, когда повысят выплаты на детей""
";эксперт рассказывать когда повышать выплата на ребенок;0;1;1;1;-1;0
;"Если и не взорвется…"""" Что может произойти со смартфоном на холоде""
";если и не взрываться что мочь происходить со смартфон на холод;-1;-1;-1;-1;-1;0
;"Эксперт рассказал, что будет с ценами на шампанское к Новому году""
";эксперт рассказывать что быть с цена на шампанское к новый год;0;1;-1;1;0;0
;"Депутат рассказал россиянам как сократить расходы на оплате ЖКХ
";депутат рассказывать россиянин как сокращать расход на оплата жкх;0;-1;0;1;0;0
;"Москвичей предупредили о приближении """"барической горы""""""
";москвич предупреждать о приближение барический гора;0;-1;0;-1;-1;0
;"Москвичей предупредили о """"барической горе""""""
";москвич предупреждать о барический гора;0;-1;0;-1;-1;0
;"Россиян предупредили о новом виде мошенничества с QR-кодами для прививок
";россиянин предупреждать о новый вид мошенничество с код для прививка;-1;-1;-1;-1;-1;0
;"Москвичей предупредили о новом виде мошенничества с QR-кодами вакцинации
";москвич предупреждать о новый вид мошенничество с код вакцинация;-1;-1;-1;-1;-1;0
;"Простые женские хотелки"""". Бузова призналась в своих мечтах""
";простой женский хотелка бузов признаваться в свой мечта;0;1;0;0;-1;0
;"Россиянам рассказали, как обеспечить себе достойную пенсию""
";россиянин рассказывать как обеспечивать себя достойный пенсия;1;1;1;1;0;0
;"О каких болезнях сигнализирует запах изо рта? Отвечает гастроэнтеролог
";о какой болезнь сигнализировать запах изо рот отвечать гастроэнтеролог;-1;-1;-1;-1;-1;0
;"Чувашия введет QR-коды для посещения общепита
";чувашия вводить код для посещение общепит;0;1;0;0;0;0
;"Британец отправился в кругосветное путешествие на лошадях из Магадана
";британец отправляться в кругосветный путешествие на лошадь из магадан;0;1;0;0;0;0
;"Доживший до 127 лет мужчина перед смертью раскрыл секрет долголетия
";доживать до год мужчина перед смерть раскрывать секрет долголетие;-1;-1;-1;-1;-1;0
;"Читавший лекцию во время ЧП в Перми профессора продолжает работу в вузе
";читать лекция во время чп в пермь профессор продолжать работа в вуз;0;1;0;-1;-1;0
;"В Москве за сутки госпитализировали 1031 человека с COVID-19
";в москва за сутки госпитализировать человек с;0;1;0;0;0;0
;"В России за сутки выписали 17 852 человек после COVID-19
";в россия за сутки выписывать человек после;0;1;0;0;0;0
;"Правительство упростило получение услуг и средств реабилитации инвалидам
";правительство упрощать получение услуга и средство реабилитация инвалид;0;1;1;1;0;0
;"В Москве за сутки умерли 67 человек с COVID-19
";в москва за сутки умирать человек с;0;1;-1;-1;-1;0
;"В России резко вырос спрос на обогреватели
";в россия резко вырастать спрос на обогреватель;0;-1;0;0;-1;0
;"Врач посоветовал не отказываться от долгих прогулок при похолодании
";врач посоветовать не отказываться от долгий прогулка при похолодание;0;0;-1;0;-1;0
;"На Украине посоветовали есть сало на завтрак
";на украина посоветовать быть сало на завтрак;0;1;0;0;-1;0
;"В Росгидромете рассказали, как тает Северный морской путь""
";в росгидромет рассказывать как таять северный морской путь;0;0;0;1;-1;0
;"Грибное сафари. Зачем россияне покупают туры за мухоморами
";грибной сафари зачем россиянин покупать тур за мухомор;0;0;0;0;-1;0
;"Названы """"неправильные"""" продукты, вызывающие гипертонию""
";называть неправильный продукт вызывать гипертония;-1;-1;-1;-1;0;0
;"День социального педагога: праздник людей высокой миссии
";день социальный педагог праздник человек высокий миссия;1;1;0;1;-1;0
;"Россияне потребляют сахар вчетверо выше нормы
";россиянин потреблять сахар вчетверо высокий норма;0;1;0;0;-1;0
;"Российский ведущий отказался от алкоголя на три месяца и удивил результатом
";российский ведущий отказываться от алкоголь на три месяц и удивлять результат;0;-1;-1;0;-1;0
;"Юрист объяснил, что делать, если во время проверки нет прав с собой""
";юрист объяснять что делать если во время проверка нет правый с себя;1;1;0;0;-1;0
;"Названы схемы обеспечения приемлемого уровня будущей пенсии
";называть схема обеспечение приемлемый уровень будущий пенсия;1;1;0;1;-1;0
;"Путин наградил орденами артисток Мирошниченко и Кравченко
";путин награждать орден артистка мирошниченко и кравченко;0;0;0;1;0;0
;"Пермский край будет судиться с актером из """"Реальных пацанов""""""
";пермский край быть судиться с актер из реальный пацан;1;-1;-1;1;-1;0
;"В Москве опровергли информацию о проблемах при оформлении соцкарт
";в москва опровергать информация о проблема при оформление соцкарта;-1;-1;-1;-1;-1;0
;"Путин наградил Ролдугина орденом """"За заслуги перед Отечеством"""" IV степени""
";путин награждать ролдугин орден за заслуга перед отечество степень;1;1;1;1;-1;0
;"Путин наградил губернатора Кемеровской области Цивилева орденом Дружбы
";путин награждать губернатор кемеровский область цивилев орден дружба;1;1;1;1;0;0
;"Причастие: в чем суть и как его совершать правильно — ответ священников
";причастие в чем суть и как он совершать правильно ответ священник;0;1;1;1;-1;0
;"В ПФР рассказали, кто может получить повышенную пенсию""
";в рассказывать кто мочь получать повышенный пенсия;0;0;0;1;-1;0
;"Россиян предупредили о новом виде мошенничества
";россиянин предупреждать о новый вид мошенничество;-1;-1;-1;-1;-1;0
;"В Тамбовской области проходит Всероссийская Чичеринская конференция
";в тамбовский область проходить всероссийский чичеринский конференция;0;0;0;1;-1;0
;"Путин поручил представить предложения по развитию метро в Петербурге
";путин поручать представлять предложение по развитие метро в петербург;0;0;0;1;-1;0
;"Ямальцев предупредили о резком похолодании
";ямалец предупреждать о резкий похолодание;-1;-1;0;-1;-1;0
;"Минюст признал иноагентом издание """"Журналист — иностранный агент""""*""
";минюст признавать иноагент издание журналист иностранный агент;1;1;0;0;-1;0
;"На Ямале впервые вручат премии лучшим классным руководителям
";на ямал впервые вручать премия хороший классный руководитель;1;0;1;1;-1;0
;"В Татарстане введут новые ограничения из-за COVID-19
";в татарстан вводить новый ограничение из-за;-1;-1;-1;0;-1;0
;"Чернышенко поздравил россиян с юбилеем отечественного телевещания
";чернышенко поздравлять россиянин с юбилей отечественный телевещание;0;1;0;0;-1;0
;"Беглов назвал Петербург городом с самым низким в России уровнем безработицы
";беглов называть петербург город с самый низкий в россия уровень безработица;-1;1;0;1;-1;0
;"Глава Кабардино-Балкарии вышел с самоизоляции
";глава кабардино-балкария выходить с самоизоляция;0;0;0;0;0;0
;"МВД предупредило о мошенниках под видом переписчиков населения
";мвд предупреждать о мошенник под вид переписчик население;-1;-1;-1;-1;-1;0
;"Около 10 тысяч """"умных"""" фонарей появится в Москве до конца 2021 года""
";около тысяча умный фонарь появляться в москва до конец год;1;1;1;-1;-1;0
;"Онкобольные в Москве обеспечены необходимыми лекарствами, заявил депздрав""
";онкобольной в москва обеспечивать необходимый лекарство заявлять депздрав;-1;0;0;1;0;0
;"Специалисты рассказали, что делать с залетевшей в квартиру летучей мышью""
";специалист рассказывать что делать с залетать в квартира летучий мышь;0;0;0;1;-1;0
;"Бастрыкин назвал факторы, стимулирующие агрессию у подростков""
";бастрыкин называть фактор стимулировать агрессия у подросток;-1;-1;0;0;0;0
;"Путин поручил создать единый подход к повышению квалификации педагогов
";путин поручать создавать единый подход к повышение квалификация педагог;0;1;0;1;-1;0
;"Путин присвоил звание генерал-лейтенанта Герою России Мерзликину
";путин присваивать звание генерал-лейтенант герой россия мерзликин;1;1;0;1;0;0
;"Ежи и белки Подмосковья начали подготовку к зиме
";еж и белка подмосковье начинать подготовка к зима;0;0;0;1;0;0
;"В Мурманске объяснили пролет """"горящего"""" самолета над городом""
";в мурманск объяснять пролет горящий самолет над город;0;1;0;-1;-1;0
;"Путин поручил создать цифровую платформу для психологической помощи детям
";путин поручать создавать цифровой платформа для психологический помощь ребенок;1;1;0;1;-1;0
;"Воробьев встретился с участниками программы """"активное долголетие""""""
";воробей встречаться с участник программа активный долголетие;1;1;0;1;-1;0
;"В Минобрнауки установили минимальные баллы ЕГЭ в вузы на следующий год
";в минобрнаука устанавливать минимальный балл егэ в вуз на следующий год;0;-1;0;0;-1;0
;"Путин поручил разработать меры по созданию условий работы детских лагерей
";путин поручать разрабатывать мера по создание условие работа детский лагерь;0;0;0;0;-1;0
;"В Волгоградской области открыли новое пожарное депо в хуторе Тормосин
";в волгоградский область открывать новый пожарный депо в хутор тормосин;0;0;0;1;-1;0
;"Путин поручил актуализировать Концепцию психологической службы в школах
";путин поручать актуализировать концепция психологический служба в школа;0;0;-1;0;-1;0
;"Путин поручил доложить об использовании государственных символов в школах
";путин поручать докладывать об использование государственный символ в школа;0;0;-1;0;-1;0
;"Это все не мое"""". Шаляпин откажется от наследства богатой супруги""
";это все не мой шаляпин отказываться от наследство богатый супруга;1;0;0;0;-1;0
;"Минздрав распределил почти 900 тысяч доз """"ЭпиВакКороны"""" по регионам""
";минздрав распределять почти тысяча доза эпиваккорона по регион;0;0;0;0;0;0
;"Певица Слава рассказала о начале отношений со своим мужем
";певица слава рассказывать о начало отношение со свой муж;0;1;-1;1;-1;0
;"В СЖР призвали СМИ внимательно изучить список """"запрещенных"""" данных ФСБ""
";в призывать сми внимательно изучать список запрещать данные фсб;-1;0;-1;-1;-1;0
;"В Свердловской области создадут зоны, свободные от COVID-19""
";в свердловский область создавать зона свободный от;1;0;1;1;-1;0
;"Парламент Кузбасса принял закон о жилищных сертификатах детям-сиротам
";парламент кузбасс принимать закон о жилищный сертификат ребенок сирота;-1;0;-1;-1;-1;0
;"В Совфеде заявили, что закон об иноагентах не касается свободы слова""
";в совфед заявлять что закон об иноагент не касаться свобода слово;0;1;0;0;-1;0
;"Это радует"""". Жириновский оценил проект бюджета России""
";это радовать жириновский оценивать проект бюджет россия;1;0;1;1;-1;0
;"Губернатор Свердловской области назвал альтернативу обязательной вакцинации
";губернатор свердловский область называть альтернатива обязательный вакцинация;1;0;0;0;-1;0
;"В Кузбассе предложили создать два города-миллионника
";в кузбасс предлагать создавать два город миллионник;0;0;0;1;-1;0
;"В Санкт-Петербурге обвенчался князь династии Романовых
";в санкт-петербург обвенчаться князь династия романов;0;0;0;0;0;0
;"Отец девятилетней студентки МГУ прокомментировал слухи об угрозе отчисления
";отец девятилетний студентка мгу прокомментировать слух об угроза отчисление;-1;-1;-1;-1;0;0
;"Коронавирус может провоцировать рак, заявил Мясников""
";коронавирус может провоцировать рак заявлять мясников;-1;-1;-1;-1;0;0
;"Россия – страна возможностей"""" запустит экологический конкурс""
";россия страна возможность запускать экологический конкурс;0;0;0;1;-1;0
;"Псковский губернатор допустил скорое снятие введенных накануне ограничений
";псковский губернатор допускать скорый снятие вводить накануне ограничение;-1;-1;-1;0;-1;0
;"Ростовская область вошла в десятку по использованию """"Пушкинской карты""""""
";ростовский область входить в десятка по использование пушкинский карта;0;0;0;-1;-1;0
;"Свердловские власти ввели обязательную вакцинацию для некоторых работников
";свердловский власть вводить обязательный вакцинация для некоторый работник;1;1;0;0;-1;0
;"Эдгард Запашный о запрете на мясо собак и судьбе белого медвежонка. ВИДЕО
";эдгард запашный о запрет на мясо собака и судьба белый медвежонок видео;-1;0;0;1;-1;0
;"В Краснодаре появилась """"Открытая среда"""" для людей с аутизмом 1:54""
";в краснодар появляться открытый среда для человек с аутизм;1;1;0;-1;-1;0
;"Голикова рассказала о запасах вакцины от COVID-19
";голикова рассказывать о запас вакцина от;0;1;-1;-1;0;0
;"В Кремле выразили обеспокоенность из-за ситуации с COVID-19
";в кремль выражать обеспокоенность из-за ситуация с;-1;0;0;-1;0;0
;"Песков переадресовал в ФСБ вопрос об иноагентах
";песков переадресовывать в фсб вопрос об иноагент;0;0;0;-1;0;0
;"Голикова рассказала, объявят ли в России локдаун из-за COVID""
";голикова рассказывать объявлять ли в россия локдаун из-за;0;0;0;0;0;0
;"Голикова оценила возможность введения локдауна в России
";голиков оценивать возможность введение локдаун в россия;1;0;0;1;-1;0
;"Пользователи ВКонтакте рассказали, как часто меняют смартфоны""
";пользователь вконтакте рассказывать как часто менять смартфон;0;0;0;1;-1;0
;"Офтальмолог объяснил, как избежать чрезмерной утомляемости осенью""
";офтальмолог объяснять как избегать чрезмерный утомляемость осень;-1;1;-1;0;-1;0
;"Продолжительность рабочего дня закрепят в Трудовом кодексе
";продолжительность рабочий день закреплять в трудовой кодекс;0;0;0;0;-1;0
;"Инфекционист оценил продолжительность новой волны коронавируса
";инфекционист оценивать продолжительность новый волна коронавирус;1;0;0;1;-1;0
;"В Москве за сутки госпитализировали 931 пациента с COVID-19
";в москва за сутки госпитализировать пациент с;0;1;0;1;0;0
;"Оперштаб назвал регионы с наименьшими темпами прироста случаев COVID-19
";оперштаб называть регион с маленький темп прирост случай;0;-1;1;0;-1;0
;"В Москве выявили 3993 новых случая заражения коронавирусом
";в москва выявлять новый случай заражение коронавирус;-1;-1;0;-1;0;0
;"В России выявили наибольшее с 19 июля число новых случаев COVID-19
";в россия выявлять большой с июль число новый случай;0;0;0;0;-1;0
;"В России за сутки выписали 19 955 человек после COVID-19
";в россия за сутки выписывать человек после;0;1;0;0;0;0
;"Лайки"""" в соцсетях полезны для здоровья. Нейропсихолог объяснила почему""
";лайка в соцсеть полезный для здоровье нейропсихолог объяснять почему;1;1;0;1;1;0
;"Осенние"""" ароматы. Какие масла помогут не заболеть?""
";осенний аромат какой масло помогать не заболевать;1;1;-1;1;-1;0
;"Путин подписал указ об осеннем призыве
";путин подписывать указ об осенний призыв;0;0;0;1;0;0
;"Путин поручил оценить ситуацию с кредиторской задолженностью медорганизаций
";путин поручать оценивать ситуация с кредиторский задолженность медорганизация;0;-1;0;0;-1;0
;"Врач назвал осенний продукт, предотвращающий развитие рака""
";врач называть осенний продукт предотвращать развитие рак;-1;0;-1;-1;0;0
;"Дегтярев назвал свой регион самым спокойным на Дальнем Востоке
";дегтярев называть свой регион самый спокойный на дальний восток;1;1;0;1;-1;0
;"Губернатор заявил о росте числа псковских школьников, заболевших COVID-19""
";губернатор заявлять о рост число псковский школьник заболевать;-1;1;-1;0;-1;0
;"Вектор"""" готовит вакцины от высокопатогенных штаммов птичьего гриппа""
";вектор готовить вакцина от высокопатогенный штамм птичий грипп;-1;0;-1;1;0;0
;"В """"Векторе"""" рассказали о влиянии коронавируса на иммунную систему""
";в вектор рассказывать о влияние коронавирус на иммунный система;0;0;1;0;0;0
;"Хабаровский губернатор раскритиковал идею создать город Спутник в Приморье
";хабаровский губернатор раскритиковывать идея создавать город спутник в приморье;0;0;0;0;-1;0
;"Средние зарплаты в сфере IT в Москве за два года выросли почти на 40%
";средний зарплата в сфера в москва за два год вырастать почти на;-1;1;0;-1;-1;0
;"Студенты и аспиранты примут участие во Всероссийском инженерном конкурсе
";студент и аспирант принимать участие во всероссийский инженерный конкурс;1;0;0;-1;-1;0
;"В Москве пройдут курсы для тренеров по робототехнике
";в москва проходить курсы для тренер по робототехника;0;0;0;1;-1;0
;"Ученый предупредил о росте заболеваемости гриппом на фоне новой волны COVID
";ученый предупреждать о рост заболеваемость грипп на фон новый волна;-1;-1;-1;1;-1;0
;"Во Владивостоке представили концепцию развития города до 2050 года
";во владивосток представлять концепция развитие город до год;0;0;0;-1;-1;0
;"Мэр Москвы Собянин ответит на вопросы горожан в прямом эфире
";мэр москва собянин отвечать на вопрос горожанин в прямой эфир;1;1;0;0;-1;0
;"Москвичам рассказали, какая погода ждет их в пятницу""
";москвич рассказывать какой погода ждать они в пятница;0;0;0;0;0;0
;"Ректор Финансового университета покинет должность 15 ноября
";ректор финансовый университет покидать должность ноябрь;0;0;0;0;-1;0
;"С октября в России повысят зарплаты бюджетников и пенсии военнослужащих
";с октябрь в россия повышать зарплата бюджетник и пенсия военнослужащий;0;0;1;1;0;0
;"Вильфанд оценил погоду в сентябре в Москве
";вильфанд оценивать погода в сентябрь в москва;1;0;0;1;-1;0
;"Вильфанд рассказал, что октябрь в Центральной России начнется без осадков""
";вильфанд рассказывать что октябрь в центральный россия начинаться без осадки;0;0;0;-1;-1;0
;"Вильфанд рассказал, где в октябре будет температура выше нормы""
";вильфанд рассказывать где в октябрь быть температура высокий норма;0;0;0;-1;-1;0
;"Учителя рассказали, какую зарплату хотели бы получать""
";учитель рассказывать какой зарплата хотеть бы получать;0;1;0;1;-1;0
;"Это страшно"""": Мясников назвал две привычки, убивающие поджелудочную железу""
";это страшный мясников называть два привычка убивать поджелудочный железа;-1;-1;-1;-1;-1;0
;"В Приморье на поддержку семей с детьми направили 9,7 миллиарда рублей""
";в приморье на поддержка семья с ребенок направлять миллиард рубль;1;1;0;1;-1;0
;"Юрист напомнил дачникам о """"мусорных"""" штрафах""
";юрист напоминать дачник о мусорный штраф;-1;-1;-1;0;-1;0
;"Я тебя породил. Иммунолог предупредил о """"потомках"""" штамма """"дельта""""""
";я ты порождать иммунолог предупреждать о потомок штамм дельта;0;-1;0;-1;-1;0
;"Иммунолог назвал победителя """"схватки"""" штаммов коронавируса в России""
";иммунолог называть победитель схватка штамм коронавирус в россия;1;1;1;0;0;0
;"Росприродназор намерен проверить утилизацию приборов с опасным веществом
";росприродназор намерен проверять утилизация прибор с опасный вещество;-1;0;0;-1;0;0
;"Дегтярев рассказал, когда Хабаровск сможет претендовать на проведение ВЭФ""
";дегтярев рассказывать когда хабаровск смочь претендовать на проведение вэф;0;0;0;0;-1;0
;"На Алтае открылся международный форум ученых-тюркологов
";на алтай открываться международный форум ученый тюрколог;0;1;0;1;-1;0
;"Эксперт рассказала, кому повысят зарплату в октябре""
";эксперт рассказывать кто повышать зарплата в октябрь;0;1;1;1;0;0
;"Врач назвала запретные в пожилом возрасте продукты
";врач называть запретный в пожилой возраст продукт;-1;1;0;0;-1;0
;"Врач перечислила продукты, от которых пожилым нужно отказаться""
";врач перечислять продукт от который пожилой нужно отказываться;0;0;-1;-1;-1;0
;"В Москве ввели обязательный тест на антиген к COVID-19 при симптомах ОРВИ
";в москва вводить обязательный тест на антиген к при симптом орвь;1;-1;0;-1;-1;0
;"В Роспотребнадзоре рассказали, как пожилые переносят вакцинацию от COVID-19""
";в роспотребнадзор рассказывать как пожилой переносить вакцинация от;0;0;0;1;-1;0
;"Пенсии, зарплаты бюджетников и техосмотр: что изменится в России в октябре""
";пенсия зарплата бюджетник и техосмотр что изменяться в россия в октябрь;0;1;0;0;0;0
;"Эксперт объяснила, как сдать экзамен на квалифицированного инвестора""
";эксперт объяснять как сдавать экзамен на квалифицированный инвестор;0;1;0;1;-1;0
;"В России изменится порядок выплаты детских пособий
";в россия изменяться порядок выплата детский пособие;0;-1;0;0;-1;0
;"В России начинается осенний призыв в армию
";в россия начинаться осенний призыв в армия;0;0;0;1;-1;0
;"Правительство увеличило зарплаты военным и силовикам
";правительство увеличивать зарплата военный и силовик;0;1;0;0;0;0
;"Умерла жена Прохора Шаляпина Клаудиа Дэвис
";умирать жена прохор шаляпин клаудиа дэвис;0;0;-1;-1;-1;0
;"Сезон в разгаре: названы лучшие места и время для сбора грибов
";сезон в разгар называть хороший место и время для сбор гриб;1;0;1;0;-1;0
;"Отец девятилетней студентки МГУ заявил об угрозе ее отчисления
";отец девятилетний студентка мгу заявлять об угроза ее отчисление;-1;-1;-1;-1;0;0
;"Омский губернатор назвал позитивными итоги форума России и Казахстана
";омский губернатор называть позитивный итог форум россия и казахстан;1;0;1;1;1;0
;"В Татарстане бесплатно подключили сетевой газ домохозяйствам
";в татарстан бесплатно подключать сетевой газ домохозяйство;0;0;-1;1;-1;0
;"Маламут: порода с непростым характером — советы кинолога по содержанию
";маламут порода с непростой характер совет кинолог по содержание;-1;1;-1;-1;1;0
;"Глава Ингушетии потребовал повысить качество строительства соцобъектов
";глава ингушетия потребовать повышать качество строительство соцобъект;0;-1;1;1;0;0
;"В Минприроды рассказали о пользе гидроузла в Омске
";в минприроды рассказывать о польза гидроузел в омск;1;0;1;1;0;0
;"Почта России"""" потребовала миллиард рублей у Судебного департамента""
";почта россия потребовать миллиард рубль у судебный департамент;0;0;0;0;0;0
;"Я тебя люблю"""": что известно о тройном убийстве под Оренбургом""
";я ты любить что известно о тройной убийство под оренбург;0;-1;1;0;-1;0
;"Блогер из Таджикистана устроил интимную фотосессию напротив храма в Москве
";блогер из таджикистан устраивать интимный фотосессия напротив храм в москва;0;1;-1;0;-1;0
;"Глава Мордовии обсудил модернизацию с руководителем Фонда ЖКХ
";глава мордовия обсуждать модернизация с руководитель фонд жкх;1;0;0;-1;0;0
;"В Минтруде оценили идею выплат из маткапитала на подготовку к школе
";в минтруда оценивать идея выплата из маткапитал на подготовка к школа;1;0;-1;1;-1;0
;"Денис Кутергин: чем опасно дело Сачкова и куда бегут """"единороги"""". ВИДЕО""
";денис кутергин чем опасно дело сачков и куда бежать единорог видео;0;-1;0;-1;0;0
;"Голикова предрекла """"сложный период"""" с коронавирусом в России""
";голиков предрекать сложный период с коронавирус в россия;-1;0;0;0;1;0
;"Вирусолог рассказал, что стало бы """"колоссальным ударом"""" по COVID-19""
";вирусолог рассказывать что становиться бы колоссальный удар по;-1;1;1;-1;-1;0
;"Отец и жена главреда The Insider* проходят по делу как свидетели
";отец и жена главред проходить по дело как свидетель;0;0;0;1;-1;0
;"Минздрав призвал ввести дополнительные требования к электронным сигаретам
";минздрав призывать вводить дополнительный требование к электронный сигарета;0;-1;0;1;-1;0
;"В Подмосковье усилили контроль за масочным режимом
";в подмосковье усиливать контроль за масочный режим;0;0;0;-1;-1;0
;"RT узнал о собранных The Insider* пожертвованиях после признания иноагентом
";узнавать о собранный пожертвование после признание иноагент;0;0;0;1;-1;0
;"В Госдуму внесли законопроект об изменении формы полиса ОМС
";в госдума вносить законопроект об изменение форма полис омс;0;0;0;0;0;0
;"Ученые выявили связь между депрессией в молодости и деменцией в старости
";ученый выявлять связь между депрессия в молодость и деменция в старость;-1;-1;-1;0;0;0
;"Губернатор Псковской области допустил введение локдауна
";губернатор псковский область допускать введение локдаун;0;0;0;-1;0;0
;"В Самарской области вводят QR-коды
";в самарский область вводить код;0;0;0;0;0;0
;"Правительство предложило продлить заморозку накопительной части пенсий
";правительство предлагать продлять заморозок накопительный часть пенсия;0;-1;0;1;0;0
;"Минздрав рассказал о победителях розыгрыша среди привитых от COVID-19
";минздрав рассказывать о победитель розыгрыш среди прививать от;1;1;1;0;0;0
;"Голикова рассказала о росте числа детей с ожирением
";голикова рассказывать о рост число ребенок с ожирение;-1;1;0;0;-1;0
;"Голикова назвала сумму, выделенную на горячее питание в школах""
";голикова называть сумма выделять на горячий питание в школа;-1;1;-1;1;-1;0
;"В Саратовской области служебные машины чиновников закрепят за врачами
";в саратовский область служебный машина чиновник закреплять за врач;0;1;0;0;0;0
;"На базе академий СК создадут кафедры по расследованию киберпреступлений
";на база академия ск создавать кафедра по расследование киберпреступление;-1;1;0;0;-1;0
;"Онколог назвал востребованные у населения продукты, вызывающие рак""
";онколог называть востребовать у население продукт вызывать рак;-1;-1;-1;-1;-1;0
;"Давайте погреемся"""". Метеоролог рассказал о погоде в начале октября""
";давать погреться метеоролог рассказывать о погода в начало октябрь;0;0;0;0;-1;0
;"Пушилин вручил паспорт ДНР пианистке Валентине Лисице
";пушилин вручать паспорт пианистка валентина лисица;0;0;0;-1;0;0
;"Минтруд изучит предложение по ежегодной единовременной выплате к школе
";минтруд изучать предложение по ежегодный единовременный выплата к школа;0;0;-1;1;-1;0
;"Попова рассказала, как преодолеть рост заболеваемости COVID-19""
";попов рассказывать как преодолевать рост заболеваемость;-1;0;-1;1;0;0
;"Попова призвала вакцинировать всех медиков от COVID-19
";попов призывать вакцинировать весь медик от;0;0;0;0;0;0
;"Метеорологи объяснили, почему в Москве нет солнца, несмотря на антициклон""
";метеоролог объяснять почему в москва нет солнце несмотря на антициклон;0;1;0;-1;0;0
